siruta,Maximum Covid 19 Incidence Rate 3rd Wave,population,Vaccination Dose 1 26.05.2021,Vaccination Rate 26.05.2021,County,Administrative Territorial Unit,Vaccination Rate 05.10.2021,Vaccination Dose 1 05.10.2021,Covid 19 Incidence Rate 20.10.2021,Industrial growing labour market 2011-2018 (dummy),Services growing labour market 2011-2018 (dummy),Trade & Logistics growing labour market 2011-2018 (dummy),Core city (dummy),Periurban locality (dummy),Employees by company from Active Population 2018 (%),Employees by rezidence from Active Population 2019 (%),School enrollment to young population 2018 (%),School enrollment to young population 2019 (%),Elderly (65+) 2018 (%),Elderly (65+) 2019 (%),Elderly (65+) 2020 (%),Primary education (4 grades) 2011 (%),Lower secondary education (8 grades) 2011 (%),Relative poverty 2016 (%),Voters present at the polls for the referendum 2018 (%),"Votes cast for ""YES"" at the referendum 2018 (%)",People pe sqkm 2018,Living space per person 2018 (sqm),Living space per person 2019 (sqm),Living space per person 2020 (sqm),Distances on roads (average in km to all cities in Romania),Gravity distances on the roads (m & pop adj.),Gravity distances on the roads (m & pop adj.) regional cut,Degrees Weighted Out (network road distances),Locality with public airports (dummy),Locality with commercial airports (dummy),Employees by rezidece from Active Population 2018 (%),Neoprotestants from Population 2011 (%),Migration experience,Gravity distances on the roads (in minutes) regional cut,The distanes until fist city of 200mii+ (ln),Core city,Peri-urban City,Peri-urban Village,Village,Size 100T+,Family doctors 1000 inhabitants,Marginalized 1000 inhabitants,Roma proportion,Socialist investements,Elderly Minimum Guarantee 2020,Elderly Retired 2020
103194.0,1.71,2276.0,176,7.73,Giurgiu,Găujani,11.56,263.0,3.08,0,0,1,0,0,0.038336052,0.08713355,0.6437659029999999,0.636604775,0.272371851,0.270150576,0.269196823,0.336976321,0.7873406190000001,0.511026293,0.21174569,0.195581897,721.8563813,26.31450912,26.82728078,26.75242718,388.9505079,161.2889715,2.148714722,1.31499,0,0,0.0831973999999999,0.0509,30.77426631,0.479092,4.420044702,0,0,0,1,0,0.433,0.0,0.141,-1.827,0.087000929,0.182195894
127251.0,0.0,3463.0,441,12.73,Olt,Ianca,18.05,625.0,4.39,1,0,0,0,1,0.046489104,0.067288802,0.659630607,0.5935828879999999,0.306528439,0.305650685,0.309916161,0.273533007,0.6081907089999999,0.3502717389999999,0.491616577,0.439417906,1260.240113,22.31437377,22.76740868,23.0636022,384.1811217,106.7398664,1.796121166,1.3207799999999998,0,0,0.0668281,0.011,50.78128023,0.5467569999999999,4.264087337,0,0,1,0,0,0.56,0.0,0.019,-0.307,0.106946596,0.202969565
130339.0,0.0,1638.0,189,11.54,Olt,Gura Padinii,19.23,315.0,3.72,1,0,0,0,0,0.051434224,0.088531187,0.684210526,0.693548387,0.26702509,0.27046695,0.272893773,0.330519481,0.607142857,0.6701449279999999,0.613433859,0.556545579,1798.066595,20.96654719,21.2844148,21.42735043,380.349051,106.6487056,1.7959287469999998,1.32771,0,0,0.0801187,0.0,17.57516428,0.5466979999999999,4.34120464,0,0,0,1,0,0.597,0.0,0.002,-0.307,0.094170824,0.178722949
153589.0,2.74,2567.0,151,5.88,Teleorman,Pietroșani,8.65,222.0,2.8,0,1,0,0,0,0.070200573,0.083575581,0.735042735,0.668817204,0.272969882,0.267029973,0.264740336,0.335413417,0.7168486740000001,0.399564902,0.276886792,0.251415094,463.9193491,21.57072055,22.0241339,22.09293245,393.2638088,154.3108695,2.1344623780000003,1.2800200000000002,0,0,0.0802291999999999,0.0204,31.06727549,0.475914,4.49535532,0,0,0,1,0,0.381,0.0,0.093,-1.388,0.082198981,0.182541355
154460.0,6.98,2037.0,226,11.09,Teleorman,Suhaia,16.35,333.0,9.23,1,0,0,0,0,0.064806481,0.105706268,0.674528302,0.678217822,0.361823362,0.3725585939999999,0.37469227,0.290799815,0.607489598,0.560612889,0.119251337,0.104812834,591.7392526000001,26.431149100000003,27.1796875,27.40718858,381.9977598,142.99119019999998,2.110133151,1.28539,0,0,0.0990099,0.0026,31.38645651,0.470489,4.623010104,0,0,0,1,0,0.474,0.0,0.0,-1.388,0.116337855,0.258354415
127224.0,1.17,2594.0,318,12.26,Olt,Grojdibodu,20.55,533.0,3.57,0,0,1,0,0,0.010230179,0.060367454,0.653710247,0.6094890510000001,0.296407186,0.304231796,0.304163454,0.33231591,0.617321633,0.640328924,0.220389171,0.189509306,1427.350427,19.23128743,19.48379718,19.60948342,378.4215818,106.3595227,1.795317395,1.31233,0,0,0.047954,0.0,33.96704637,0.546512,4.30676415,0,0,0,1,0,0.748,0.0,0.004,-0.307,0.104961439,0.199202015
105909.0,3.03,2591.0,459,17.72,Giurgiu,Vedea,21.15,548.0,7.67,0,0,0,0,0,0.038434661,0.081618169,0.569682152,0.515,0.292774242,0.29109063,0.283179012,0.301755669,0.6576444770000001,0.330645161,0.224988683,0.199637845,1196.684588,21.43616623,21.98771121,22.08950617,384.311054,167.6219644,2.161203004,1.34815,0,0,0.0719776,0.0051,24.58179248,0.481876,4.348986781,0,0,0,1,0,0.374,0.0,0.123,-1.827,0.091519792,0.19165922
129282.0,0.0,1632.0,167,10.23,Olt,Ștefan Cel Mare,18.63,304.0,0.64,1,0,0,0,1,0.028446389,0.102132435,0.793103448,0.927835052,0.333725721,0.333937198,0.32801962,0.325890163,0.6288473139999999,0.599096556,0.3637602179999999,0.300408719,802.9300567,23.8534432,24.47282609,24.84794605,378.2452532,102.0848183,1.786106519,1.24402,0,0,0.0722101,0.005,41.99819836,0.543708,4.194189897,0,0,1,0,0,0.588,0.0,0.012,-0.307,0.11319378,0.21482584
127368.0,0.69,4402.0,520,11.81,Olt,Izbiceni,21.83,961.0,3.47,0,0,1,0,1,0.059852993,0.065271373,0.688380282,0.6759776540000001,0.226352103,0.2337457819999999,0.233689475,0.259584296,0.62817552,0.55010846,0.144593895,0.119503363,1454.516025,22.60360561,22.84769404,23.08661059,374.6541983,92.55900835,1.764301799,1.25894,0,0,0.059153,0.0,29.63753669,0.537071,4.483002552,0,0,1,0,0,0.445,0.0,0.028,-0.307,0.080642113,0.153047362
125542.0,0.94,17144.0,4105,23.94,Olt,Corabia,30.03,5148.0,7.3,0,0,1,1,0,0.112056611,0.21782541,1.246794872,1.176688633,0.2054239219999999,0.2125842439999999,0.214840783,0.154093647,0.378833516,0.240256864,0.217958297,0.177613258,1610.722825,20.93668284,21.25371834,21.3741747,368.3903762,101.2995112,1.758731915,1.29591,0,0,0.2200824,0.0022,39.43556079,0.551365,4.395682961,1,0,0,0,0,0.456,0.0,0.064,-0.307,0.074137762,0.140703021
